name,init_stack,init_heap
gcp_ubuntu-accelerator-2404-amd64-with-nvidia-550-v20250502a,zero,zero
gcp_ubuntu-accelerator-2404-amd64-with-nvidia-570-v20250502a,zero,zero
gcp_ubuntu-minimal-2004-focal-v20250502,none,zero
gcp_ubuntu-minimal-2204-jammy-v20250502,zero,zero
gcp_ubuntu-minimal-2404-noble-amd64-v20250501,zero,zero
gcp_ubuntu-minimal-2410-oracular-amd64-v20250501,zero,zero
gcp_ubuntu-minimal-2504-plucky-amd64-v20250430,zero,zero
gcp_ubuntu-minimal-pro-2004-focal-v20250425,none,zero
gcp_ubuntu-minimal-pro-2204-jammy-v20250501,zero,zero
gcp_ubuntu-minimal-pro-2404-noble-amd64-v20250502,zero,zero
gcp_ubuntu-pro-1604-xenial-v20250501,unknown,unknown
gcp_ubuntu-pro-2004-focal-v20250425,none,zero
gcp_ubuntu-pro-2204-jammy-v20250430,zero,zero
gcp_ubuntu-pro-2404-noble-amd64-v20250502a,zero,zero
nixpkgs-linux_hardened,zero,zero
nixpkgs-linux_latest,zero,zero
nixpkgs-linux_lts,zero,zero
rhel-8.0,unknown,unknown
